Trees;Instances;Features;Max;Avg
2;205;8;61.4815;59
2;205;9;72.2222;66
2;210;2;75.1852;72.3333
2;210;3;70.3704;65.6667
2;210;4;72.963;68
2;210;5;67.4074;66
2;210;6;72.5926;68.6667
2;210;7;71.1111;68.6667
2;210;8;77.037;67.6667
2;210;9;71.1111;67
2;215;2;77.4074;68
2;215;3;70.7407;66
2;215;4;72.963;69.3333
2;215;5;77.037;67.6667
2;215;6;75.9259;72.6667
2;215;7;65.5556;58.3333
2;215;8;76.2963;69.3333
2;215;9;74.4444;69.3333
2;220;2;71.8519;64
2;220;3;74.8148;68.3333
2;220;4;74.8148;70
2;220;5;72.5926;67.3333
2;220;6;75.1852;63.6667
2;220;7;65.5556;61.6667
2;220;8;75.5556;71.3333
2;220;9;75.9259;69
2;225;2;64.8148;64
2;225;3;74.8148;72.6667
2;225;4;72.2222;67.6667
2;225;5;75.1852;67
2;225;6;73.3333;64
2;225;7;77.037;71
2;225;8;65.5556;62.6667
2;225;9;77.037;65.3333
2;230;2;70.7407;66.6667
2;230;3;69.2593;63
2;230;4;71.4815;69.3333
2;230;5;72.5926;71
2;230;6;70.3704;68.3333
2;230;7;73.3333;64.6667
2;230;8;70.3704;62.6667
2;230;9;65.1852;60.6667
2;235;2;74.0741;72.3333
2;235;3;76.2963;65.3333
2;235;4;73.7037;67
2;235;5;74.0741;68.6667
2;235;6;76.2963;74.3333
2;235;7;77.4074;68
2;235;8;71.4815;66.6667
2;235;9;69.6296;66.6667
2;240;2;70.3704;65.6667
2;240;3;75.5556;65.3333
2;240;4;74.8148;69.6667
2;240;5;65.9259;62
2;240;6;75.1852;70.6667
2;240;7;76.2963;74
2;240;8;70.7407;68.6667
2;240;9;69.6296;65.6667
2;245;2;73.7037;70.6667
2;245;3;69.6296;68.3333
2;245;4;69.6296;66
2;245;5;75.5556;70.3333
2;245;6;72.963;68.6667
2;245;7;70;65.3333
2;245;8;76.2963;70
2;245;9;69.6296;67.6667
2;250;2;73.3333;66.6667
2;250;3;68.5185;65.3333
2;250;4;75.9259;74
2;250;5;73.7037;71
2;250;6;72.5926;70.6667
2;250;7;72.963;67.3333
2;250;8;76.6667;66.3333
2;250;9;77.037;73
2;255;2;73.3333;67.3333
2;255;3;76.6667;70.3333
2;255;4;70.3704;66
2;255;5;74.4444;68.6667
2;255;6;76.2963;70.3333
2;255;7;75.1852;66
2;255;8;70.7407;69.6667
2;255;9;75.9259;67
2;260;2;75.1852;69.6667
2;260;3;75.5556;70.3333
2;260;4;70.7407;68.6667
2;260;5;68.5185;64.3333
2;260;6;77.7778;70.6667
2;260;7;71.4815;67
2;260;8;71.8519;66
2;260;9;77.7778;73.3333
2;265;2;74.8148;66.6667
2;265;3;67.037;58.3333
2;265;4;73.7037;69.3333
2;265;5;76.6667;64
2;265;6;73.3333;69.6667
2;265;7;71.1111;65.6667
2;265;8;71.4815;69
2;265;9;78.5185;74.3333
2;270;2;69.6296;65.3333
2;270;3;72.963;69.3333
2;270;4;76.6667;71
2;270;5;72.963;69
2;270;6;70.7407;64.6667
2;270;7;77.7778;75.6667
2;270;8;76.6667;70
2;270;9;74.0741;69.3333
2;275;2;71.4815;69.3333
2;275;3;65.5556;59
2;275;4;75.5556;72
2;275;5;72.963;70.6667
2;275;6;71.8519;70
2;275;7;69.2593;65.6667
2;275;8;74.4444;67
2;275;9;68.8889;63.6667
2;280;2;77.4074;68
2;280;3;71.1111;67.6667
2;280;4;77.4074;74.3333
2;280;5;70.7407;66.3333
2;280;6;68.5185;62.6667
2;280;7;70;69
2;280;8;76.6667;70.3333
2;280;9;77.7778;71.3333
2;285;2;73.3333;66
2;285;3;70.7407;67
2;285;4;74.0741;65.3333
2;285;5;74.0741;70.6667
2;285;6;72.5926;67.3333
2;285;7;74.0741;70.6667
2;285;8;59.6296;58
2;285;9;74.8148;69.3333
3;5;2;62.5926;60.3333
3;5;3;62.963;60.6667
3;5;4;69.6296;66.3333
3;5;5;65.1852;64
3;5;6;70.3704;62
3;5;7;64.4444;63.3333
3;5;8;69.6296;63.6667
3;5;9;66.2963;65.3333
3;10;2;71.8519;69
3;10;3;66.6667;65
3;10;4;66.6667;63.3333
3;10;5;69.2593;66.3333
3;10;6;72.963;68
3;10;7;68.8889;64
3;10;8;67.4074;65.6667
3;10;9;66.6667;64
3;15;2;68.8889;65.6667
3;15;3;67.7778;65.6667
3;15;4;67.037;64.6667
3;15;5;65.1852;64.3333
3;15;6;68.5185;66
3;15;7;65.9259;61.6667
3;15;8;67.037;64
3;15;9;67.037;66
3;20;2;74.4444;72.3333
3;20;3;73.3333;68.3333
3;20;4;65.1852;61.6667
3;20;5;71.4815;67
3;20;6;68.5185;65.6667
